2026-07-18 14:07:01 - INFO - === Starting Live Paper-Trading Engine | Asset: BTC-USD | Initial Balance: $10,000.00 ===
2026-07-18 14:07:02 - INFO - Agent checkpoint loaded successfully (195 state keys). Epsilon strictly locked to 0.0 for deterministic execution.
2026-07-18 14:56:47 - INFO - Step:   71 | Time: 2026-07-18T14:56:47.434065 | Price: $64024.4600 | Action: Long (2)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9727.4600 | State 7D: (0, 0, 0, 0, 1, 1, 0)
2026-07-18 14:57:02 - INFO - Step:   72 | Time: 2026-07-18T14:57:02.672980 | Price: $64027.9900 | Action: Flat (1)  | PnL: $  +3.53 | TxCost: $32.01 | Balance: $   9698.9760 | State 7D: (0, 1, 0, 1, 1, 1, 0)
2026-07-18 14:57:18 - INFO - Step:   73 | Time: 2026-07-18T14:57:18.321906 | Price: $64027.9800 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9698.9760 | State 7D: (0, 1, 0, 0, 1, 1, 0)
2026-07-18 15:01:50 - INFO - === Starting Live Paper-Trading Engine | Asset: BTCUSDT | Initial Balance: $10,000.00 ===
2026-07-18 15:01:50 - INFO - Connected to Binance Testnet for BTCUSDT. Agent checkpoint loaded (195 keys). Epsilon strictly locked to 0.0.
2026-07-18 15:01:53 - INFO - Step:    1 | Time: 2026-07-18T15:01:53.450184 | Price: $64134.9900 | Action: Short (0) | PnL: $  +0.00 | TxCost: $32.07 | Balance: $   9967.9325 | State 7D: (1, 1, 0, 0, 2, 1, 0)
2026-07-18 15:02:08 - INFO - Step:    2 | Time: 2026-07-18T15:02:08.691651 | Price: $64135.4600 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9325 | State 7D: (1, 1, 0, -1, 2, 1, 0)
2026-07-18 15:02:23 - INFO - Step:    3 | Time: 2026-07-18T15:02:23.929876 | Price: $64127.6800 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9325 | State 7D: (1, 1, 0, 1, 2, 1, 0)
2026-07-18 15:02:23 - INFO - Reached maximum requested verification steps (3). Exiting live loop.
2026-07-18 15:02:23 - INFO - === Live Paper-Trading Ended | Final Balance: $9,967.93 ===
2026-07-18 15:03:53 - INFO - === Starting Live Paper-Trading Engine | Asset: BTCUSDT | Initial Balance: $10,000.00 ===
2026-07-18 15:03:53 - INFO - Connected to Binance Testnet for BTCUSDT. Agent checkpoint loaded (195 keys). Epsilon strictly locked to 0.0.
2026-07-18 15:03:55 - INFO - Step:    1 | Time: 2026-07-18T15:03:55.853009 | Price: $64120.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $32.06 | Balance: $   9967.9400 | State 7D: (1, 1, 0, 0, 2, 1, 0)
2026-07-18 15:04:11 - INFO - Step:    2 | Time: 2026-07-18T15:04:11.599694 | Price: $64120.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9400 | State 7D: (1, 1, 0, 0, 2, 1, 0)
2026-07-18 15:04:27 - INFO - Step:    3 | Time: 2026-07-18T15:04:27.259698 | Price: $64125.6500 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9400 | State 7D: (1, 1, 0, -1, 2, 1, 0)
2026-07-18 15:04:42 - INFO - Step:    4 | Time: 2026-07-18T15:04:42.920706 | Price: $64125.6600 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9400 | State 7D: (1, 1, 0, -1, 2, 1, 0)
2026-07-18 15:04:58 - INFO - Step:    5 | Time: 2026-07-18T15:04:58.584634 | Price: $64126.5500 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9400 | State 7D: (1, 1, 0, -1, 2, 1, 0)
2026-07-18 15:05:14 - INFO - Step:    6 | Time: 2026-07-18T15:05:14.245966 | Price: $64144.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9400 | State 7D: (1, 1, 0, -1, 2, 1, 0)
2026-07-18 15:05:29 - INFO - Step:    7 | Time: 2026-07-18T15:05:29.490369 | Price: $64151.0700 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9400 | State 7D: (1, 1, 0, -1, 2, 1, 0)
2026-07-18 15:05:45 - INFO - Step:    8 | Time: 2026-07-18T15:05:45.147445 | Price: $64163.1600 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9400 | State 7D: (1, 1, 0, -1, 2, 1, 0)
2026-07-18 15:06:00 - INFO - Step:    9 | Time: 2026-07-18T15:06:00.801856 | Price: $64163.1700 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9400 | State 7D: (1, 1, 0, -1, 2, 1, 0)
2026-07-18 15:06:16 - INFO - Step:   10 | Time: 2026-07-18T15:06:16.459966 | Price: $64195.2400 | Action: Long (2)  | PnL: $ -75.24 | TxCost: $32.10 | Balance: $   9860.6024 | State 7D: (1, 1, 0, -1, 2, 1, 1)
2026-07-18 15:06:31 - INFO - Step:   11 | Time: 2026-07-18T15:06:31.700641 | Price: $64199.4300 | Action: Short (0) | PnL: $  +4.19 | TxCost: $32.10 | Balance: $   9832.6927 | State 7D: (1, 1, 0, 1, 2, 1, 1)
2026-07-18 15:06:47 - INFO - Step:   12 | Time: 2026-07-18T15:06:47.360186 | Price: $64204.0100 | Action: Long (2)  | PnL: $  -4.58 | TxCost: $32.10 | Balance: $   9796.0107 | State 7D: (1, 1, 0, -1, 2, 1, 1)
2026-07-18 15:07:02 - INFO - Step:   13 | Time: 2026-07-18T15:07:02.603424 | Price: $64180.5200 | Action: Long (2)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9796.0107 | State 7D: (1, 1, 0, -1, 2, 1, 1)
